,title,subscriber,views,likes,summary_caption,date
0,"Adani Row Causes Protests, Disruptions In Parliament Again",12.3M subscribers,"3,172 ",49,"['Both parliament houses were adjourned till lunch on Friday as opposition parties, for the second day, called for a discussion and an investigation into allegations of fraud against the Adani Group that have triggered a bloodbath at the stock market.', '', 'Disclaimer: New Delhi Television is a subsidiary of AMG Media Networks Limited, an Adani Group Company.', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
1,BJP-backed Nominee Loses In Devendra Fadnavis Home Turf Nagpur,12.3M subscribers,"1,205 ",16,"[""In a major electoral setback for the BJP in one of its most significant bastions, the candidate for the opposition Maha Vikas Aghadi (MVA) coalition on Thursday defeated the party's contender in polls to a Maharashtra Legislative Council seat in Nagpur."", '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
2,Flight To Kozhikode Returns To Abu Dhabi As Flames Seen In Engine Mid-Air,12.3M subscribers,600 ,4,"['A Kozhikode-bound Air India Express flight from Abu Dhabi landed back at the airport as flames were detected in one of the engines soon after take-off, the Directorate General of Civil Aviation said on Friday. Air India Express said that the aircraft landed safely and all passengers are safe.', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
3,"Zelensky Says Ukraine Should Start EU Entry Talks ""This Year""",12.3M subscribers,425 ,5,"['Ukrainian President Volodymyr Zelensky said Thursday his war-torn country deserved to start EU accession talks ""this year"".', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
4,"""Those On Duty Didn't Check Because..."": On Pak Blast, Cops Admit To Lapse",12.3M subscribers,600 ,3,"['The suicide bomber who killed 101 people inside a mosque at a police headquarters in Pakistan was wearing a uniform and helmet when he staged the attack, a police chief said Thursday. Hundreds of cops were attending afternoon prayers in what should have been a tightly controlled compound in the northwest city of Peshawar on Monday when the blast erupted, causing a wall to collapse and crush officers.', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
5,"Chinese Spy Balloon Spotted Surveilling Nuclear Weapons Sites, Claims US",12.3M subscribers,761 ,8,"['The Pentagon said Thursday it was tracking a Chinese spy balloon flying high over the United States, reviving tensions between the two countries just days ahead of a rare visit to Beijing by the top US diplomat.', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
6,Car Drags Parked Bike For 4 Kilometers In Gurugram,12.3M subscribers,915 ,2,"['A case has been registered after a car dragged a parked motorbike for nearly four kilometers in Gurugram on Thursday. Two men riding behind the car recorded a video of the incident. The bike was later recovered by the police.', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel): ', ' ', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", ' ', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', ' ', 'Follow us on Social Media: ', 'Facebook: https://www.facebook.com/ndtv/', 'Twitter: https://twitter.com/ndtv/   ', 'Instagram: https://www.instagram.com/ndtv/ ', 'Telegram Messenger: https://t.me/NDTVbot/?start=hi ', ' ', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY ', ' ', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps ', ' ']","['  Feb 3, 2023']"
7,Veteran Filmmaker And Dadasaheb Phalke Awardee K Viswanath Dies At 92,12.3M subscribers,"5,168 ",73,"['Dadasaheb Phalke awardee and renowned filmmaker Kasinadhuni Viswanath died at a private hospital here. He was 92. Viswanath was unwell for some time and was suffering from age-related issues, sources said. He passed away at the hospital around midnight Thursday.', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
8,Stock Exchanges Put 3 Adani Group Companies Under Short-Term Surveillance,12.3M subscribers,"2,463 ",28,"['As many as three Adani Group companies, including Adani Enterprises, have come under short-term additional surveillance measure (ASM) framework of the BSE and NSE, according to the latest data available with the exchanges on Thursday. Apart from Adani Enterprises, the other two firms listed by the exchanges are -- Adani Ports and Special Economic Zone and Ambuja Cements.', '', 'Disclaimer: New Delhi Television is a subsidiary of AMG Media Networks Limited, an Adani Group Company.', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
9,G20 Delegates Attend Cultural Event In Rajasthan,12.3M subscribers,786 ,14,"['G20 Delegates who arrived for the three-day meeting of first G20 Employment Working Group meeting on Thursday in Jodhpur attended a cultural event in the city.', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel): ', ' ', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", ' ', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', ' ', 'Follow us on Social Media: ', 'Facebook: https://www.facebook.com/ndtv/', 'Twitter: https://twitter.com/ndtv/   ', 'Instagram: https://www.instagram.com/ndtv/ ', 'Telegram Messenger: https://t.me/NDTVbot/?start=hi ', ' ', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY ', ' ', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps ', ' ']","['  Feb 3, 2023']"
